property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
Hôtel de Sèvres,0,3,"6th arr., Paris",2.2,1,Very good ,204,Classic Double Room,1 large double bed,0,8.1,218,False,False
Relais Christine,1,5,"6th arr., Paris",0.9,0,Superb ,154,Deluxe Junior Suite,"Private suite2 beds (1 sofa bed, 1 large double)",0,9.2,900,False,False
Novotel Suites Paris Nord 18ème,0,4,"18th arr., Paris",5.0,0,Good ,"2,410",Superior Suite with Double Bed and Sofa Bed,"Private suite2 beds (1 double, 1 sofa bed)",0,7.5,169,False,False
Le Pradey,1,4,"1st arr., Paris",1.7,1,Very good ,"1,070",Tradition Double Room,Multiple bed types,1,8.5,295,False,False
Hotel d'Orléans Paris Gare de l'Est,0,No Rating available,"2nd arr., Paris",1.4,1,Review score ,662,Double Room with Shared Bathroom and Shared Toilet,1 double bed,0,5.6,76,False,False
Hotel Ferney République,0,No Rating available,"11th arr., Paris",1.5,1,Review score ,"1,002",Standard Double Room,1 double bed,1,6.2,102,False,False
Timhotel Palais Royal,1,3,"2nd arr., Paris",1.4,1,Good ,830,Comfort Twin Room,2 single beds,0,7.9,173,False,False
Hôtel des Andelys,0,1,"11th arr., Paris",2.0,1,Review score ,916,Budget Double Room,1 double bed,0,3.6,61,False,False
Comfort Hotel Davout Nation Paris 20,0,3,"20th arr., Paris",4.3,1,Good ,"1,255",Standard Twin Room,2 single beds,0,7.5,127,False,False
Le Belmont Paris,1,4,"16th arr., Paris",4.2,0,Very good ,520,Attic Junior Suite,Private suite1 extra-large double bed,1,8.4,506,True,False
Hôtel Brighton - Esprit de France,1,4,"1st arr., Paris",1.9,0,Very good ,812,Superior Double Room,1 large double bed,1,8.5,328,False,False
ibis Paris Père Lachaise,0,3,"11th arr., Paris",2.6,1,Very good ,639,Standard Double Room,1 large double bed,1,8.0,156,False,False
Maison Malesherbes,0,4,"8th arr., Paris",3.2,1,Very good ,404,Double Room,1 large double bed,0,8.5,210,False,False
Home Sweet Home Champs Elysées Niel,0,3,"17th arr., Paris",5.0,0,Review score ,15,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 39m²1 large double bed,1,6.4,129,False,False
Home Sweet Home Champs Elysées Niel,0,3,"17th arr., Paris",5.0,0,Review score ,15,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 39m²1 large double bed,1,6.4,129,False,False
Hôtel Du Brabant,0,2,"10th arr., Paris",2.3,1,Review score ,"1,088",Double Room,1 double bed,0,5.1,101,False,False
greet hotel Paris Nord 18è,0,2,"18th arr., Paris",5.0,1,Good ,"3,330",Queen Room,1 double bed,1,7.4,101,False,False
Hôtel des 3 Collèges,1,3,"5th arr., Paris",1.2,1,Good ,580,Classic Double Room,1 double bed,1,7.9,224,False,False
Hôtel Dame des Arts,1,4,"6th arr., Paris",0.8,1,0,0,"""Signature"" Room ",1 large double bed,1,0.0,455,False,True
ibis Styles Paris Nation Cours de Vincennes,1,3,"12th arr., Paris",4.3,1,Good ,665,Standard Twin Room,2 single beds,0,7.8,163,True,False
Chambellan Morgane,1,3,"16th arr., Paris",4.2,1,Very good ,737,Standard Double Room,1 double bed,0,8.0,303,False,False
Renaissance Paris Vendome Hotel,1,5,"1st arr., Paris",1.9,1,Good ,191,La Petite Queen Room,1 large double bed,1,7.6,537,False,False
Hotel Les Théâtres,1,4,"2nd arr., Paris",1.4,1,Good ,523,Classic Double Room,1 large double bed,0,7.9,201,False,False
