property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
Hôtel Charing Cross,1,3,"8th arr., Paris",2.9,1,Very good ,"1,136",Double Room,1 double bed,0,8.0,153,False,False
La Villa Madame,1,4,"6th arr., Paris",1.7,1,Very good ,272,Classic Room,1 double bed,1,8.4,206,False,False
L'Adresse,1,3,"17th arr., Paris",5.4,1,Good ,689,Deluxe Double Room,Beds: 1 double or 2 singles,0,7.1,134,False,False
Hôtel Maxim Quartier Latin,1,3,"5th arr., Paris",1.8,1,Very good ,"1,082",Standard Double Room,1 double bed,0,8.2,154,False,False
Le Vert Galant - Auberge Etchegorry,1,3,"13th arr., Paris",2.7,1,Fabulous ,432,Comfort Double Room,Beds: 1 double or 2 singles,0,8.6,124,False,False
Hotel Vacances Bleues Villa Modigliani,1,3,"14th arr., Paris",2.4,1,Good ,"1,776",Comfort Double or Twin Room,1 double bed,0,7.9,147,False,False
Best Western Aramis Saint Germain,1,3,"6th arr., Paris",2.1,1,Very good ,"1,361",Standard Double Room,1 double bed,1,8.2,174,False,False
Grand Hôtel Dechampaigne,1,3,"1st arr., Paris",0.5,1,Good ,"1,476",Superior Double or Twin Room,Beds: 1 double or 2 singles,0,7.7,196,False,False
Le Montclair Montmartre by River,1,No Rating available,"18th arr., Paris",3.9,1,Review score ,"2,168",Double Room with Private Bathroom,1 double bed,0,6.6,67,False,False
Pullman Paris Montparnasse,1,4,"14th arr., Paris",3.1,1,Very good ,"1,132",Deluxe Twin Room with View,2 single beds,1,8.5,321,False,False
Hotel Moderne Saint Germain,1,3,"5th arr., Paris",0.9,1,Very good ,"1,935",Superior Twin Room,2 single beds,0,8.2,134,False,False
Grand Pigalle Hotel,1,4,"9th arr., Paris",2.9,1,Fabulous ,373,"Standard Room ""Sopi""",1 large double bed,1,8.8,214,False,False
Familia Hotel,1,2,"5th arr., Paris",1.0,1,Very good ,"1,657",Superior Double Room,1 double bed,0,8.1,141,False,False
Grand Hotel des Balcons,1,2,"6th arr., Paris",1.1,1,Very good ,"1,214",Classic Twin Room,2 single beds,0,8.1,192,False,False
Hotel Louvre Montana,1,4,"1st arr., Paris",1.7,1,Fabulous ,396,Superior Double Room,1 large double bed,0,8.9,376,False,False
Hôtel du Sentier,1,4,"2nd arr., Paris",1.3,1,Superb ,270,Superior Double Room,1 large double bed,1,9.0,292,False,False
"ELSA, Hôtel Paris",1,4,"17th arr., Paris",4.9,1,Fabulous ,816,Business Double Room,1 large double bed,1,8.6,170,False,False
Hôtel Le Cardinal by Happyculture,1,3,"9th arr., Paris",3.2,1,Very good ,"2,079",Superior Twin Room,2 single beds,1,8.0,132,False,False
Vendôme Opera Hotel,1,4,"8th arr., Paris",2.6,1,Very good ,863,Classic Double Room,1 double bed,0,8.5,168,False,False
Garden-Elysée,1,4,"16th arr., Paris",4.8,1,Very good ,822,Double Standard,1 double bed,0,8.5,207,False,False
Libertel Gare Du Nord Suede,1,3,"10th arr., Paris",2.4,1,Good ,"1,049",Quadruple Room,"2 beds (1 sofa bed, 1 large double)",1,7.9,136,False,False
Home Latin,1,3,"5th arr., Paris",0.8,1,Good ,"1,994",Twin Room,2 single beds,1,7.0,159,False,False
Jardin de Villiers,1,3,"17th arr., Paris",4.0,1,Very good ,253,Double Room,1 double bed,0,8.0,118,False,False
Hotel Louvre Sainte Anne,1,3,"1st arr., Paris",1.6,1,Fabulous ,228,Standard Twin Room,Beds: 1 double or 2 singles,0,8.6,226,False,False
Hotel Petit Lafayette,1,4,"9th arr., Paris",2.2,1,Fabulous ,"1,048",Superior Double Room,1 large double bed,1,8.7,195,False,False
Le Tourville Eiffel,1,4,"7th arr., Paris",3.2,1,Fabulous ,387,Classic Double Room,1 large double bed,0,8.6,201,False,False
Timhotel Odessa Montparnasse,1,3,"14th arr., Paris",2.5,1,Good ,"1,526",Comfort Double Room,Multiple bed types,0,7.7,154,False,False
Floride-Etoile,1,3,"16th arr., Paris",4.8,1,Very good ,797,Club Twin Room,2 single beds,1,8.5,156,False,False
Hotel Sacha,1,4,"9th arr., Paris",2.7,1,Very good ,834,Classic Twin Room,2 single beds,1,8.0,146,False,False
Eiffel Kennedy,1,3,"16th arr., Paris",5.5,0,Very good ,793,Twin Room,2 single beds,0,8.3,155,False,False
Novotel Suites Paris Montreuil Vincennes,1,4,"20th arr., Paris",4.7,0,Good ,"3,290",Superior Double Room with Sofa Bed,"Private suite2 beds (1 sofa bed, 1 large double)",0,7.7,179,False,False
Grand Hotel du Loiret,1,3,"4th arr., Paris",300.0,1,Very good ,"1,156",Double Room,1 double bed,0,8.1,166,False,False
ibis Styles Paris Bercy,1,3,"12th arr., Paris",3.0,1,Good ,"6,202",Standard Twin Room,2 single beds,0,7.5,184,True,False
Hotel Orphée - Orso Hotels,1,3,"5th arr., Paris",2.0,0,Good ,543,Superior Double Room,1 large double bed,0,7.9,143,False,False
Hôtel Des Batignolles,1,3,"17th arr., Paris",3.8,1,Very good ,"2,214",Classic Double or Twin Room,Beds: 1 double or 2 singles,0,8.3,109,False,False
Hôtel A La Villa des Artistes,1,3,"6th arr., Paris",2.2,1,Fabulous ,"1,100",Classic Double Room,1 double bed,0,8.6,165,False,False
Hôtel Félicien by Elegancia,1,4,"16th arr., Paris",5.7,0,Good ,871,Comfort Double Room,Beds: 1 double or 2 singles,0,7.9,208,True,False
Golden Tulip Washington Opera,1,4,"1st arr., Paris",1.5,1,Very good ,861,Classic Double Room,1 double bed,0,8.3,174,False,False
Hotel de Nell,1,5,"9th arr., Paris",1.9,0,Very good ,375,Classic Double Room,1 double bed,1,8.5,296,False,False
Hôtel Clarisse,1,3,"15th arr., Paris",4.8,1,Very good ,550,Classic Double Room,1 double bed,0,8.0,118,False,False
Cler Hotel,1,3,"7th arr., Paris",3.3,1,Fabulous ,910,Double Room,1 large double bed,1,8.8,229,False,False
Hotel 10 Opéra by HappyCulture,1,3,"9th arr., Paris",2.1,1,Very good ,"1,299",Double Room,1 double bed,1,8.2,174,False,False
Simon's Boutique Hôtel,1,3,"18th arr., Paris",3.8,1,Very good ,"1,052",Double Room,1 large double bed,0,8.1,143,False,False
Hôtel Eiffel Rive Gauche,1,3,"7th arr., Paris",3.6,1,Good ,"2,153",Standard Twin Room (2 persons),2 single beds,0,7.6,183,False,False
Hôtel Derby Eiffel,1,3,"7th arr., Paris",3.2,1,Good ,467,Double or Twin Room,Beds: 1 double or 2 singles,0,7.9,175,False,False
Hotel Luxembourg Parc,1,4,"6th arr., Paris",1.5,1,Superb ,302,Standard Double Room,1 double bed,1,9.0,296,False,False
Hôtel Rosalie,1,4,"13th arr., Paris",2.7,0,Fabulous ,689,Standard Double Room,1 double bed,1,8.6,189,False,False
"The Hoxton, Paris",1,No Rating available,"2nd arr., Paris",1.5,1,Fabulous ,840,Cosy,1 large double bed,0,8.7,349,False,False
3H Paris Marais Hôtel,1,3,"3rd arr., Paris",1.0,1,Very good ,527,Double Comfort Room,1 large double bed,1,8.3,183,False,False
Hotel Richmond Gare du Nord,1,2,"10th arr., Paris",2.6,1,Good ,907,Double Room,1 double bed,0,7.0,135,False,False
Royal Saint Germain,1,3,"6th arr., Paris",2.3,1,Good ,318,Double Room,Beds: 1 double or 2 singles,1,7.9,161,False,False
Exe Paris centre,1,3,"8th arr., Paris",3.0,1,Very good ,"1,293",Standard Double or Twin Room,Beds: 1 double or 2 singles,1,8.1,159,False,False
Hôtel Saint-Marc,1,4,"2nd arr., Paris",1.9,0,Superb ,506,Executive Room - Swimming Pool / Hammam Access upon reservation,Multiple bed types,0,9.2,272,False,False
Hotel Saint-Louis Pigalle,1,3,"9th arr., Paris",3.1,1,Fabulous ,"1,463",Standard Double Room,1 double bed,0,8.8,129,False,False
Belambra City - Magendie,1,2,"13th arr., Paris",2.6,1,Good ,"1,854",Twin Room,2 single beds,0,7.7,138,True,False
Hôtel Poussin,1,3,"16th arr., Paris",6.7,1,Good ,331,Double or Twin Room,Beds: 1 double or 2 singles,0,7.1,142,False,False
Hôtel Le Regent Paris,1,3,"6th arr., Paris",1.0,1,Very good ,"1,130",Standard Double Room,Beds: 1 double or 2 singles,1,8.2,202,False,False
Hôtel Gérando,1,3,"9th arr., Paris",2.9,1,Very good ,"1,521",Double Room,1 double bed,1,8.2,141,False,False
Mercure Paris Centre Tour Eiffel,1,4,"15th arr., Paris",4.3,1,Good ,"3,085",Classic Twin Room,2 single beds,0,7.5,253,False,False
Hotel Danemark,1,3,"6th arr., Paris",2.2,1,Very good ,522,Standard Double Room,1 double bed,1,8.0,155,False,False
Sofitel Le Scribe Paris Opera,1,5,"9th arr., Paris",2.2,1,Very good ,548,Superior Queen Room,1 large double bed,1,8.3,518,False,False
HOTEL DU PRINTEMPS,0,3,"8th arr., Paris",2.7,1,Good ,901,Budget Twin Room,2 single beds,0,7.6,153,False,False
Hôtel Etoile Trocadéro,1,3,"16th arr., Paris",4.8,1,Very good ,"1,172",Superior Double Room,Multiple bed types,1,8.2,191,False,False
Hotel Saint-Louis Marais,1,3,"4th arr., Paris",1.0,1,Fabulous ,840,Standard Double or Twin Room,Beds: 1 double or 2 singles,0,8.8,159,False,False
Novotel Paris Porte Versailles,1,4,"15th arr., Paris",5.2,1,Very good ,"3,897",Classic King Room,1 large double bed,1,8.5,200,False,False
Hotel de Saint-Germain,1,2,"6th arr., Paris",1.6,1,Good ,862,Double Room,1 double bed,1,7.1,145,False,False
Hotel Bachaumont,1,4,"2nd arr., Paris",1.2,1,Very good ,277,Superior Room,Beds: 1 double or 2 singles,0,8.4,285,False,False
Hôtel Alléty,0,1,"10th arr., Paris",1.5,1,Review score ,64,Comfort Double Room,1 large double bed,0,4.8,57,False,False
Cosmotel Hotel,1,3,"10th arr., Paris",1.5,1,Very good ,"1,218",Twin Room,2 single beds,0,8.4,142,False,False
Villa Panthéon,1,4,"5th arr., Paris",0.9,0,Good ,848,Classic Room,Beds: 1 double or 2 singles,0,7.9,185,True,False
Hotel Odeon Saint-Germain,1,4,"6th arr., Paris",1.2,1,Good ,373,Executive Double Room,1 double bed,1,7.9,204,False,False
Hôtel des Buttes Chaumont,1,2,"19th arr., Paris",3.2,1,Good ,463,Triple Room,Multiple bed types,1,7.1,130,False,False
Charles V,1,4,"4th arr., Paris",0.8,1,Fabulous ,451,Superior Double Room,1 large double bed,1,8.6,285,False,True
Timhotel Invalides Eiffel,1,4,"7th arr., Paris",3.0,1,Good ,705,Comfort Double or Twin Room,Beds: 1 double or 2 singles,0,7.7,155,False,True
Hotel Eiffel Capitol,1,3,"15th arr., Paris",4.4,1,Good ,"1,549",Superior Double or Twin Room,1 large double bed,0,7.8,144,False,False
Villa Lutèce Port Royal,1,4,"13th arr., Paris",2.4,0,Good ,650,Double Room,Beds: 1 double or 2 singles,0,7.1,161,True,False
Hotel Caumartin Opéra - Astotel,1,3,"9th arr., Paris",2.4,1,Very good ,737,Standard  Double Room,Multiple bed types,0,8.0,177,False,False
M Social Hotel Paris Opera,1,4,"9th arr., Paris",2.0,1,Very good ,925,Alcove Room with One King Bed,1 extra-large double bed,1,8.3,270,False,False
Verlain,1,3,"11th arr., Paris",2.1,1,Good ,713,Double Room,1 double bed,0,7.7,173,False,False
Le Petit Borda,0,No Rating available,"3rd arr., Paris",1.1,1,Review score ,332,Double Room with Shared Bathroom,1 double bed,0,4.3,68,False,False
Hôtel des Métallos,1,3,"11th arr., Paris",1.7,1,Good ,501,Double Room,1 large double bed,0,7.8,102,False,False
The ReMIX Hotel,1,4,"19th arr., Paris",5.1,1,Very good ,"5,422",Duo Pop Room,Beds: 1 double or 2 singles,1,8.1,171,False,False
"InterContinental Paris Le Grand, an IHG Hotel",1,5,"9th arr., Paris",2.2,1,Fabulous ,"1,693",Cosy Room,1 large double bed,1,8.6,548,False,False
The People - Paris Marais,1,No Rating available,"4th arr., Paris",1.1,1,Very good ,"2,936",Double or Twin Room with View,Beds: 1 double or 2 singles,1,8.2,162,False,False
L'Ouest Hotel,1,3,"8th arr., Paris",2.9,1,Very good ,"1,053",Twin Room with Bath,2 single beds,1,8.1,159,False,False
Hotel De Seine,1,3,"6th arr., Paris",1.1,1,Fabulous ,594,Classic  Room,1 double bed,1,8.6,196,False,False
Hotel Verneuil Saint Germain,1,4,"7th arr., Paris",1.5,1,Very good ,536,Small Double Room,1 large double bed,0,8.3,232,False,False
Gardette Park Hotel,1,4,"11th arr., Paris",2.1,1,Good ,806,Standard Double Room,1 double bed,0,7.9,167,False,False
Color Design Hotel,1,3,"12th arr., Paris",2.3,1,Good ,"1,170",Standard Double Room,1 large double bed,0,7.2,144,False,False
Hôtel Londres Saint Honoré,1,3,"1st arr., Paris",1.7,1,Very good ,"1,404",Standard Double Room,1 double bed,0,8.2,167,False,False
Hotel Little Regina,1,2,"10th arr., Paris",2.2,0,Good ,"2,244",Apartment - Ground Floor,"Private apartment • 1 bedroom • 1 living room • 1 bathroom2 beds (1 double, 1 sofa bed)",0,7.6,122,False,False
Hôtel Du Printemps,1,2,"12th arr., Paris",3.9,1,Very good ,681,Superior Double/Twin Room,Beds: 1 double or 2 singles,1,8.3,143,False,False
Hôtel Beaurepaire,1,3,"10th arr., Paris",1.7,1,Good ,504,Classic Double or Twin Room,Beds: 1 double or 2 singles,0,7.4,165,False,False
Hôtel des Ducs D'Anjou,1,4,"1st arr., Paris",500.0,1,Good ,844,Standard Double Room,1 double bed,1,7.3,167,False,False
Hotel Ares Eiffel,1,4,"15th arr., Paris",4.0,1,Very good ,"1,073",Classic Double Room,1 double bed,0,8.3,170,False,False
"Hotel Apolonia Paris Mouffetard, Sure Hotel Collection by Best Western",1,3,"5th arr., Paris",1.5,1,Very good ,"1,530",Comfort King Room,1 extra-large double bed,1,8.3,169,False,False
Hotel Aida Marais,1,3,"10th arr., Paris",1.6,0,Good ,"2,298",Superior double or twin with street view or courtyard,Beds: 1 double or 2 singles,1,7.8,163,False,False
Hôtel Sanso by HappyCulture - ex Quality Bercy Bibliothèque,1,3,"13th arr., Paris",3.5,0,Good ,"3,155",Double Room,Beds: 1 double or 2 singles,1,7.6,130,True,False
Citadines Saint-Germain-des-Prés Paris,1,4,"6th arr., Paris",0.8,1,Very good ,"2,715",Deluxe Studio,1 double bed,1,8.1,257,False,False
Hôtel des Arts Montmartre,1,4,"18th arr., Paris",3.5,1,Exceptional ,"2,248",Standard Double Room,1 double bed,0,9.5,178,False,False
O.Lysée Hotel,1,3,"8th arr., Paris",3.6,1,Fabulous ,885,Standard Double or Twin Room,Beds: 1 double or 2 singles,0,8.9,196,False,False
Les Jardins Du Marais,1,4,"11th arr., Paris",1.3,1,Good ,"1,058",Classic Room,1 double bed,0,7.0,205,False,False
Hotel Terre Neuve,1,3,"20th arr., Paris",3.4,1,Very good ,274,Classic Double Room - Ground Floor,Beds: 1 double or 2 singles,0,8.3,123,False,False
Citadines Les Halles Paris,1,4,"1st arr., Paris",0.5,1,Good ,"2,706",Studio,Entire studio • 1 bathroom • 1 kitchen • 25m²Beds: 1 double or 2 singles,1,7.9,227,False,False
Hotel Habituel,1,4,"10th arr., Paris",2.6,1,Good ,623,Double Room,1 large double bed,0,7.5,146,False,False
25hours Hotel Terminus Nord,1,4,"10th arr., Paris",2.6,1,Very good ,"2,102",Medium,1 double bed,1,8.4,225,False,False
Hotel Beausejour,1,3,"11th arr., Paris",1.9,1,Good ,515,Deluxe Double Room,1 double bed,0,7.7,142,False,False
Hilton Paris Opera,1,4,"8th arr., Paris",2.8,1,Good ,375,Superior Room,1 double bed,1,7.8,402,False,False
citizenM Paris Champs-Élysées,1,4,"8th arr., Paris",3.7,1,Very good ,"1,636",King Room,1 extra-large double bed,1,8.5,230,False,False
Relais Bergson,1,2,"19th arr., Paris",3.1,1,Good ,678,Double Room,1 double bed,0,7.4,102,False,False
Timhotel Tour Montparnasse,1,3,"14th arr., Paris",2.7,1,Good ,"1,309",Comfort Twin Room,2 single beds,0,7.4,153,False,False
Comfort Hotel Nation Père Lachaise,1,3,"11th arr., Paris",2.7,1,Good ,899,Double Standard,1 extra-large double bed,1,7.1,107,False,False
Hotel Fontaines du Luxembourg,1,3,"6th arr., Paris",1.2,1,Very good ,621,Standard Double Room,Beds: 1 double or 2 singles,0,8.5,169,False,False
B&B HOTEL Paris Porte des Lilas,0,2,"19th arr., Paris",4.9,1,Good ,"8,389",Twin Room,2 single beds,1,7.8,78,False,False
Hôtel Saint Marcel,1,3,"13th arr., Paris",2.1,1,Very good ,"1,238",Standard Double Room,1 double bed,1,8.5,123,False,False
citizenM Paris Gare de Lyon,1,4,"12th arr., Paris",2.1,1,Very good ,"9,002",King Room,1 extra-large double bed,1,8.4,220,False,False
Hotel Regence Paris,0,3,"8th arr., Paris",3.4,1,Review score ,209,Double Room,1 double bed,0,6.5,113,False,False
Arioso,1,4,"8th arr., Paris",3.2,1,Fabulous ,891,Classic Triple Room,"3 beds (2 singles, 1 double)",0,8.6,221,False,False
Hôtel de la Tour Eiffel,1,2,"7th arr., Paris",3.5,1,Good ,"1,211",Double Room,1 large double bed,0,7.4,151,False,False
Hotel Ariane Montparnasse by Patrick Hayat,1,3,"14th arr., Paris",3.5,1,Good ,479,Comfort Double Room,1 double bed,0,7.4,142,False,False
Best Western Plus Quartier Latin Pantheon,1,3,"5th arr., Paris",1.5,1,Good ,"1,994",Superior Queen Room,1 large double bed,0,7.8,183,False,False
Hôtel De Castiglione,1,4,"8th arr., Paris",2.7,1,Good ,"3,607",Superior Double Room,Multiple bed types,0,7.5,226,False,False
9Hotel Opera,1,3,"9th arr., Paris",2.2,1,Good ,609,Classic Room,Beds: 1 double or 2 singles,1,7.7,164,False,False
Hotel Luna Park,1,1,"11th arr., Paris",1.8,1,Good ,"3,234",Double Room with Private Bathroom,1 single bed,0,7.8,82,False,False
Adveniat Paris,1,No Rating available,"8th arr., Paris",3.3,1,Very good ,"1,358",Standard Twin Room,2 single beds,0,8.0,113,False,False
Le Mathurin Hotel & Spa,1,4,"8th arr., Paris",2.7,1,Very good ,"1,338",Superior Double Room,1 extra-large double bed,0,8.3,236,False,False
Hotel Paradis,1,3,"10th arr., Paris",1.9,1,Very good ,416,Comfort Double Room,Beds: 1 double or 2 singles,1,8.2,178,False,False
Hotel La Lanterne & Spa,1,4,"5th arr., Paris",0.9,1,Fabulous ,"1,281",Classic Double Room with Spa Access,1 large double bed,0,8.7,282,False,False
Hotel Haussmann Saint Augustin,1,3,"8th arr., Paris",3.1,1,Very good ,386,Classic Double Room,1 double bed,0,8.5,203,False,False
St Christopher's Inn Paris - Gare du Nord,1,No Rating available,"10th arr., Paris",2.6,1,Good ,"6,158",Private Room (4 Adults),4 bunk beds,0,7.3,147,False,False
Blc Design Hotel,1,3,"11th arr., Paris",2.3,1,Good ,692,Serenity with Courtyard View,1 double bed,1,7.7,147,False,False
Hôtel Mansart - Esprit de France,1,4,"1st arr., Paris",2.1,0,Very good ,389,Cosy Room,1 double bed,1,8.2,245,False,False
Hôtel Richard,0,No Rating available,"11th arr., Paris",2.2,1,Review score ,"3,545",Double Room with Private Bathroom,1 double bed,0,6.1,70,False,False
Hôtel R de Paris - Boutique Hotel,1,4,"9th arr., Paris",3.1,1,Fabulous ,596,Classic Double Room,1 large double bed,0,8.7,241,False,False
Passy Eiffel,1,3,"16th arr., Paris",5.0,1,Very good ,973,Classic Double Room,1 double bed,0,8.5,179,False,False
Citadines Tour Eiffel Paris,1,4,"15th arr., Paris",4.0,1,Very good ,"1,476",Studio,Beds: 1 double or 2 singles,1,8.0,240,False,False
Grand Hotel Saint Michel,1,4,"5th arr., Paris",1.2,1,Very good ,752,Classic Room,1 large double bed,0,8.1,193,False,False
Relais Saint Jacques,1,4,"5th arr., Paris",1.7,0,Very good ,709,Classic Double or Twin Room,Beds: 1 double or 2 singles,0,8.4,189,False,False
Le Clos Medicis,1,3,"6th arr., Paris",1.2,1,Good ,505,Classic Double Room,1 double bed,0,7.8,156,False,False
Elysees Niel Hotel,1,3,"17th arr., Paris",4.8,1,Very good ,819,Double Room,1 double bed,0,8.0,159,False,False
Hôtel Moderniste,1,4,"15th arr., Paris",4.9,0,Superb ,884,Medium Double or Twin Room,Beds: 1 double or 2 singles,0,9.1,184,False,False
Hôtel International Paris,1,3,"11th arr., Paris",2.0,1,Very good ,629,Comfort Double Room,1 double bed,0,8.2,175,False,False
Hôtel Château Frontenac,1,4,"8th arr., Paris",3.8,1,Very good ,811,Classic Room,1 double bed,0,8.5,325,False,False
Hôtel Le Milie Rose,1,4,"10th arr., Paris",1.9,0,Superb ,"1,832",Superior Twin Room,2 single beds,1,9.1,251,False,False
Hotel Albe Bastille,1,3,"12th arr., Paris",1.9,1,Very good ,"1,296",Standard Double Room,1 double bed,0,8.3,144,False,False
Bonsoir Madame,1,4,"6th arr., Paris",1.8,1,Fabulous ,675,Superior Double Room,Beds: 1 double or 2 singles,1,8.9,263,False,False
Pavillon Opéra Grands Boulevards,1,3,"9th arr., Paris",1.9,0,Good ,392,Standard Double Room,1 double bed,0,7.4,163,True,False
Chambiges Elysées,1,4,"8th arr., Paris",3.7,1,Fabulous ,415,Standard Double Room,1 double bed,0,8.6,272,False,False
Pullman Paris Centre - Bercy,1,4,"12th arr., Paris",3.9,1,Very good ,"1,419",Classic King Room,1 extra-large double bed,1,8.3,275,False,False
Hotel Americain,1,2,"3rd arr., Paris",1.3,1,Good ,675,Double Room,1 double bed,0,7.7,137,False,False
Citadines Opéra Paris,1,4,"2nd arr., Paris",1.9,1,Very good ,554,Studio,1 double bed,0,8.1,216,False,False
Hôtel du Levant,1,3,"5th arr., Paris",0.7,1,Very good ,"1,300",Superior Double or Twin Room,Beds: 1 double or 2 singles,0,8.4,225,True,False
Oceania Paris Porte De Versailles,1,4,"15th arr., Paris",5.7,1,Good ,"1,295",Superior Double or Twin Room,Beds: 1 double or 2 singles,0,7.8,195,False,False
Hotel OFF Paris Seine,1,4,"13th arr., Paris",1.9,1,Very good ,"2,262",Double Room with Dock View,1 large double bed,0,8.4,207,False,False
Hôtel Regina Opéra Grands Boulevards,1,4,"10th arr., Paris",1.6,1,Good ,"1,168",Classic Double Room,1 double bed,0,7.7,168,False,False
Moris Grands Boulevards,1,3,"10th arr., Paris",1.5,1,Fabulous ,"1,244",Twin Room,2 single beds,0,8.6,184,False,False
Odalys City Paris Montmartre,1,4,"18th arr., Paris",3.6,1,Fabulous ,"2,453",Standard Studio (2 Adults),Entire studio • 1 bathroom • 19m²Beds: 1 double or 2 singles,1,8.6,175,False,False
Le Général Hôtel,1,4,"11th arr., Paris",1.5,0,Superb ,"1,074",Classic Double or Twin Room,Beds: 1 double or 2 singles,1,9.0,237,False,False
Le Littré,1,4,"6th arr., Paris",2.4,1,Fabulous ,"1,215",Classic Room,Beds: 1 double or 2 singles,0,8.7,269,True,False
Novotel Paris 20 Belleville,1,4,"11th arr., Paris",2.5,1,Very good ,"1,382",Standard Twin Room,2 single beds,1,8.3,185,False,False
Hôtel Le Compostelle,1,3,"4th arr., Paris",400.0,1,Very good ,895,Double Room with Shower,1 double bed,1,8.0,171,False,False
Chouchou Hotel,1,4,"9th arr., Paris",2.1,1,Superb ,"1,793",Superior Double Room,1 large double bed,0,9.0,337,False,False
Hôtel Crayon by Elegancia,1,3,"1st arr., Paris",1.1,1,Good ,530,Small Double Room,1 double bed,0,7.8,180,False,False
ZE Hotel,1,4,"9th arr., Paris",2.5,1,Very good ,302,Club Double Room,1 double bed,0,8.3,171,False,False
Lenox Montparnasse,1,3,"14th arr., Paris",2.4,1,Fabulous ,"1,136",Junior Suite,1 large double bed,0,8.8,317,False,False
Timhotel Paris du Gare du Nord,0,3,"10th arr., Paris",2.6,1,Review score ,989,Double Room,1 double bed,0,6.7,113,False,False
Hôtel Parc Saint-Séverin - Esprit de France,1,4,"5th arr., Paris",0.7,0,Fabulous ,501,Classic Double or Twin Room,1 double bed,1,8.9,239,False,False
New Hotel Roblin,1,4,"8th arr., Paris",2.6,1,Very good ,908,Standard  Room,1 double bed,1,8.4,241,False,False
Balmoral Champs Elysées,1,4,"17th arr., Paris",4.7,1,Very good ,324,Standard Double Room,1 large double bed,1,8.5,206,False,False
Nouveau Paris Park Hotel,0,3,"19th arr., Paris",3.4,1,Review score ,613,Classic Twin Room,2 single beds,0,6.5,72,False,False
Best Western Plus Hôtel Littéraire Marcel Aymé,1,4,"18th arr., Paris",3.5,1,Fabulous ,"1,367",Superior King Room,1 extra-large double bed,1,8.7,192,False,False
Hôtel Cabane - Orso Hotels,1,3,"14th arr., Paris",3.6,1,Very good ,849,Classic Double Room,1 large double bed,1,8.4,174,False,False
Vice Versa,1,4,"15th arr., Paris",5.1,1,Good ,539,Classic Room,Beds: 1 double or 2 singles,0,7.8,144,False,False
"Tinah Paris, Aboukir",1,No Rating available,"2nd arr., Paris",1.4,0,Very good ,189,Standard Double Room,1 large double bed,0,8.3,174,True,False
Le Damantin Hôtel & Spa,1,5,"8th arr., Paris",3.3,1,Fabulous ,798,Boutique Room with Access to Pool and Fitness,1 large double bed,0,8.8,410,False,False
Jardins Eiffel,1,3,"7th arr., Paris",3.2,1,Very good ,"2,667",Comfort Double Room,1 large double bed,1,8.4,199,False,False
Hôtel Du Brésil,1,2,"5th arr., Paris",1.4,0,Good ,"1,028",Superior Double or Twin Room,Beds: 1 double or 2 singles,0,7.3,131,False,False
Hôtel Sainte-Beuve,1,4,"6th arr., Paris",2.1,0,Very good ,412,Superior Room,Beds: 1 double or 2 singles,1,8.5,226,False,False
Hôtel Raphael,1,5,"16th arr., Paris",4.5,1,Very good ,551,Classic Room,1 extra-large double bed,1,8.4,447,False,False
Ibis Paris Tour Eiffel Cambronne 15ème,0,3,"15th arr., Paris",3.8,1,Good ,"7,098",Standard Room with 2 Single Beds,2 single beds,0,7.4,172,False,False
Hôtel de la Place du Louvre - Esprit de France,1,4,"1st arr., Paris",0.8,0,Very good ,183,Cosy Double Room,1 double bed,1,8.0,215,False,False
Ibis Styles Paris Massena Olympiades,1,3,"13th arr., Paris",4.0,1,Very good ,"1,663",Standard Twin Room,2 single beds,1,8.2,155,True,False
Hotel Louison,1,3,"6th arr., Paris",2.5,1,Very good ,715,Traditional Double Room,1 double bed,1,8.5,198,False,False
Hotel Bastille Speria,1,3,"4th arr., Paris",1.2,1,Fabulous ,"1,456",Double Room,1 extra-large double bed,1,8.6,251,False,False
Hotel Victor Massé,1,2,"9th arr., Paris",2.9,1,Very good ,"1,607",Triple Room,3 single beds,0,8.2,160,False,False
Hotel Joke - Astotel,1,3,"9th arr., Paris",3.2,1,Fabulous ,894,Standard Twin Room,2 single beds,0,8.9,188,False,False
Hotel du Chemin Vert,1,3,"11th arr., Paris",2.2,1,Good ,"1,358",Standard Double Room,1 double bed,0,7.6,143,False,False
CasaÔ,1,No Rating available,"2nd arr., Paris",1.3,1,Very good ,212,Standard Double Room,1 large double bed,1,8.5,176,False,False
Hôtel de Varenne,1,4,"7th arr., Paris",2.5,1,Very good ,547,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,1,8.4,269,False,False
Hôtel Piapia,1,3,"20th arr., Paris",4.2,1,Fabulous ,"1,992",Superior Double or Twin Room,Beds: 1 double or 2 singles,0,8.6,155,False,False
Mom'Art Hotel,1,4,"18th arr., Paris",3.1,1,Fabulous ,565,Cosy Collection - Twin Room with Spa Access,2 single beds,0,8.9,214,False,False
Hotel Mimosa Paris,1,1,"10th arr., Paris",1.5,1,Good ,"1,034",Standard Double Room,1 double bed,0,7.5,95,False,False
Best Western Hôtel Littéraire Arthur Rimbaud,1,4,"10th arr., Paris",1.6,1,Good ,"1,283",Classic Queen Room,1 large double bed,1,7.9,162,False,False
